kata,primary_pos,all_pos
netrosfer,Nomina,Nomina;Meteorologi
pamapasan,Nomina,Nomina;Batak
kras,Nomina,Nomina
demilitarized zone,Ungkapan,Ungkapan;Inggris
tundra,Nomina,Nomina
plak,Nomina,Nomina;Kedokteran dan Fisiologi
lobus oksipital,Kedokteran dan Fisiologi,Kedokteran dan Fisiologi
perbukitan,Nomina,Nomina
parahiyangan,Nomina,Nomina
psamolitoral,Nomina,Nomina;Pertanian
bueng,Nomina,Nomina
daerah netral,Olahraga,Olahraga
doldrum,Nomina,Nomina;Meteorologi
pendudukan,Nomina,Nomina
daerah permainan sendiri,Olahraga,Olahraga
daerah adiabatik,Meteorologi,Meteorologi
tekanan tinggi,Hidrometeorologi,Hidrometeorologi
lembang pusat,Hidrometeorologi,Hidrometeorologi
tekanan rendah,Hidrometeorologi,Hidrometeorologi
depresi oklusi,Meteorologi,Meteorologi
wilayah pisah,Meteorologi,Meteorologi
mandalika,Nomina,Nomina
eksosfer,Nomina,Nomina
oasis,Nomina,Nomina;kiasan
mare,Nomina,Nomina;Astronomi
banten,Nomina,Nomina
magnetosfer,Nomina,Nomina
arktika,Nomina,Nomina;Geografi dan Geologi
pedusunan,Nomina,Nomina
pusat diversifikasi,Kehutanan,Kehutanan
penghuluan,Nomina,Nomina
perhumaan,Nomina,Nomina
taiga,Nomina,Nomina
diy,Nomina,Nomina;singkatan
dz,Nomina,Nomina;singkatan
onderdistrik,Nomina,Nomina;Arkais
resor,Nomina,Nomina
biotop,Nomina,Nomina
sekularitas,Nomina,Nomina
kemaharajaan,Nomina,Nomina
car,Nomina,Nomina;Gayo
dki jaya,Nomina,Nomina;akronim
titik netral,Meteorologi,Meteorologi
dewal,Nomina,Nomina;Gayo
lingkaran tengah,Olahraga,Olahraga
kampus,Nomina,Nomina
mintakat,Nomina,Nomina
ano siyep,Nomina,Nomina;Sumbawa
heliosfer,Nomina,Nomina;Astronomi
depresi,Nomina,Nomina;Ekonomi dan Keuangan
buffer zone,Ungkapan,Ungkapan;Inggris
rahops,Nomina,Nomina;akronim
daop,Nomina,Nomina;akronim
dom,Nomina,Nomina
eulitoral,Nomina,Nomina
litoral,Nomina,Nomina
pantai,Nomina,Nomina
kelurahan,Nomina,Nomina
dapil,Nomina,Nomina;akronim
talam tampung,Geografi dan Geologi,Geografi dan Geologi
daerah tadah,Hidrometeorologi,Hidrometeorologi
andap sadar,Kedokteran dan Fisiologi,Kedokteran dan Fisiologi
afitik,Nomina,Nomina;Biologi
peminggir,Nomina,Nomina
kolet,Nomina,Nomina;Botani
daerah permainan,Olahraga,Olahraga
area kerja normal,Olahraga,Olahraga
perdesaan,Nomina,Nomina
dp,Nomina,Nomina;singkatan
transit narkotika,Hukum,Hukum
daerah fron,Meteorologi,Meteorologi
medan dingin,Geografi dan Geologi,Geografi dan Geologi
medan panas,Geografi dan Geologi,Geografi dan Geologi
trigonum,Nomina,Nomina
teluk rantau,kiasan,kiasan
lintasan,Nomina,Nomina
ultraviolet,Nomina,Nomina
jendela atmosfer,Hidrometeorologi,Hidrometeorologi
kesunanan,Nomina,Nomina
kabupaten,Nomina,Nomina
daerah aliran,Hidrometeorologi,Hidrometeorologi
permukiman,Nomina,Nomina
percandian,Nomina,Nomina
daerah pabean,Ekonomi dan Keuangan,Ekonomi dan Keuangan
baur aliran,Meteorologi,Meteorologi
tembuni,Nomina,Nomina
matlak,Nomina,Nomina;Arab
wilayah konveksi,Meteorologi,Meteorologi
situs,Nomina,Nomina;Komputer
tenang khatulistiwa,Meteorologi,Meteorologi
mesotoraks,Nomina,Nomina;Zoologi
ano rawi,Nomina,Nomina;Sumbawa
wanua,Nomina,Nomina;Bugis
pradesa,Nomina,Nomina
pedalaman,Nomina,Nomina
kawasan,Nomina,Nomina
daerah liputan,Ilmu Komunikasi,Ilmu Komunikasi
dtw,Nomina,Nomina;singkatan
daerah sudut,Olahraga,Olahraga
daerah serang,Olahraga,Olahraga
wahah,Nomina,Nomina
episkopat,Nomina,Nomina;Agama Katolik
swapraja,Nomina,Nomina;Arkais
punggung tekanan,Meteorologi,Meteorologi
tengah,Nomina,Nomina
segmen lingkaran,Matematika,Matematika
perantauan,Nomina,Nomina
kotak penalti,Olahraga,Olahraga
kadipaten,Nomina,Nomina;Klasik
keondofoloan,Nomina,Nomina
cagar budaya,Antropologi,Antropologi
cagar alam,Biologi,Biologi
jajahan,Nomina,Nomina
daerah bebas obat keras,Hukum,Hukum
mintakat iklim,Meteorologi,Meteorologi
serviks,Nomina,Nomina
bagian lapangan,Olahraga,Olahraga
mintakat kering,Meteorologi,Meteorologi
akuafalfa,Nomina,Nomina
kawasan hutan,Hukum,Hukum
jelajahan,Nomina,Nomina
karst,Nomina,Nomina;Geografi dan Geologi
subtropik,Nomina,Nomina;Meteorologi
palung,Nomina,Nomina
baratan,Nomina,Nomina;Meteorologi
proskenium,Nomina,Nomina
janapada,Nomina,Nomina
patrol,Nomina,Nomina;Madura
parga,Nomina,Nomina;Geografi dan Geologi
daerah perwalian,Politik dan Pemerintahan,Politik dan Pemerintahan
terra incognita,Ungkapan,Ungkapan;Latin
luruh,Verba,Verba
telatah,Nomina,Nomina
lebensraum,Ungkapan,Ungkapan;Jerman
senarai,Nomina,Nomina
lis,Nomina,Nomina
konkordansi,Nomina,Nomina
setat,Nomina,Nomina
menu,Nomina,Nomina;Komputer
invois,Nomina,Nomina;Perdagangan
faktur,Nomina,Nomina;Perdagangan
daftar dagang,Ekonomi dan Keuangan,Ekonomi dan Keuangan
bill of lading,Ungkapan,Ungkapan;Inggris
tabel,Nomina,Nomina
daftar minibar,Perhotelan:,Perhotelan:
bibliografi,Nomina,Nomina
hemogram,Nomina,Nomina
des,Nomina,Nomina;singkatan
daftar logaritma,Matematika,Matematika
filmografi,Nomina,Nomina
penanggalan,Nomina,Nomina
kalender,Nomina,Nomina
manifes,Nomina,Nomina
dipa,Nomina,Nomina;singkatan
rekuisisi,Nomina,Nomina;Manajemen
leksikon,Nomina,Nomina;Komputer
glosarium,Nomina,Nomina
vokabuler,Nomina,Nomina
inventori,Nomina,Nomina
pertelaan,Nomina,Nomina
bagan akun standar,Keuangan,Keuangan
repertoar,Nomina,Nomina
daftar harga,Ekonomi dan Keuangan,Ekonomi dan Keuangan
menu gantung pintu,Perhotelan:,Perhotelan:
daftar hitam,Nomina,Nomina
sijil,Nomina,Nomina
dustur,Nomina,Nomina;Arab
daftar orang tercela,Ekonomi dan Keuangan,Ekonomi dan Keuangan
dramatis personae,Ungkapan,Ungkapan;Latin
erata,Nomina,Nomina
dpo,Nomina,Nomina;singkatan
balans,Nomina,Nomina
skedul,Nomina,Nomina;Cakapan
daftar darab,Arkais,Arkais
angket,Nomina,Nomina;Hukum
pupuan,Nomina,Nomina
diskografi,Nomina,Nomina
antrean pekerjaan,Komputer,Komputer
perkiraan neraca pembayaran,Ekonomi dan Keuangan,Ekonomi dan Keuangan
paradigma,Nomina,Nomina
inventaris,Nomina,Nomina;Administrasi dan Kepegawaian
duk,Nomina,Nomina
daftar akseptasi wesel,Ekonomi dan Keuangan,Ekonomi dan Keuangan
daftar pasang surut,Pelayaran,Pelayaran
daftar gaji,Ekonomi dan Keuangan,Ekonomi dan Keuangan
daftar muatan,Pelayaran,Pelayaran
daftar barang,Ekonomi dan Keuangan,Ekonomi dan Keuangan
daftar putih,Ekonomi dan Keuangan,Ekonomi dan Keuangan
kambis,Nomina,Nomina
daftar upah,Keuangan,Keuangan
daftar pelaku,Kesenian,Kesenian
fahrasat,Nomina,Nomina;Arab
bantai,Nomina,Nomina
empal,Nomina,Nomina;Jawa
steik,Nomina,Nomina
sei,Nomina,Nomina;Tata Boga
klitoris,Nomina,Nomina;Anatomi
kelentit,Nomina,Nomina
betutu,Nomina,Nomina;Bali
bakon,Nomina,Nomina
samcan,Nomina,Nomina
ham,Nomina,Nomina;singkatan
balususung,Nomina,Nomina
sengkel,Nomina,Nomina
has,Nomina,Nomina
kebab,Nomina,Nomina
sosis,Nomina,Nomina
tempoyak,Nomina,Nomina
venison,Nomina,Nomina
bakese,Nomina,Nomina;Sangir
anak tekak,Anatomi,Anatomi
kopra,Nomina,Nomina
gaganting,Nomina,Nomina;Sunda
kikil,Nomina,Nomina;Jawa
tenderloin,Nomina,Nomina
sirloin,Nomina,Nomina
wagyu,Nomina,Nomina;Jepang
sandung lamur,Nomina,Nomina;Tata Boga
sancan,Nomina,Nomina;Tata Boga
turnedo,Nomina,Nomina;Tata Boga
dendeng,Nomina,Nomina
gusi,Nomina,Nomina;Pelayaran
keloid,Nomina,Nomina
siwil,Nomina,Nomina;Melayu Medan
uci-uci,Nomina,Nomina
pendabihan,Nomina,Nomina
lamur,Adjektiva,Adjektiva
daging kurban,Agama Islam,Agama Islam
gelonggongan,Nomina,Nomina;Jawa
rendang,Nomina,Nomina
salwa,Nomina,Nomina;Arab
punuk,Nomina,Nomina
jengger,Nomina,Nomina
lauk,Nomina,Nomina
dagu lebah bergantung,kiasan,kiasan
kahak,Nomina,Nomina
balgam,Nomina,Nomina
gelema,Nomina,Nomina
rahak,Nomina,Nomina;Minangkabau
pangpung,Nomina,Nomina;Sunda
kampar,Nomina,Nomina
langari,Nomina,Nomina;Sunda
bansa,Nomina,Nomina;Muna
canggah,Nomina,Nomina
jidat,Nomina,Nomina
glabela,Nomina,Nomina
dahi sehari bulan,kiasan,kiasan
dahi kiliran taji,kiasan,kiasan
tadinya,Adverbia,Adverbia
purba,Adjektiva,Adjektiva
bahela,Adverbia,Adverbia;Sunda
salip,Verba,Verba
voorheen,Ungkapan,Ungkapan;Belanda
pendakwah,Nomina,Nomina
dakah,Nomina,Nomina
puyan,Nomina,Nomina;Melayu Jakarta
saman,Nomina,Nomina;Kesenian
gugat,Nomina,Nomina
tukasan,Nomina,Nomina
dakwaan kumulatif,Hukum,Hukum
dakwaan alternatif,Hukum,Hukum
dakwaan subsider,Hukum,Hukum
dakwaan primer,Hukum,Hukum
dakwaan rancu,Hukum,Hukum
da’wah bil-??l,Ungkapan,Ungkapan;Arab
da’wah bil-lis?nil-maq?l,Ungkapan,Ungkapan;Arab
dl,Nomina,Nomina;singkatan
internal,Adjektiva,Adjektiva
jeluk,Adjektiva,Adjektiva
in bonam partem,Ungkapan,Ungkapan;Latin
in malam partem,Ungkapan,Ungkapan;Latin
teomorfis,Adjektiva,Adjektiva
tabelaris,Adjektiva,Adjektiva;Administrasi dan Kepegawaian
in optima forma,Ungkapan,Ungkapan;Latin
optima forma,Ungkapan,Ungkapan;Latin
qua,Ungkapan,Ungkapan;Latin
linea recta,Ungkapan,Ungkapan;Latin;kiasan
in casu,Ungkapan,Ungkapan;Latin
in dubio,Ungkapan,Ungkapan;Latin
in natura,Ungkapan,Ungkapan;Latin
qualitate qua,Ungkapan,Ungkapan;Latin
daring,Adjektiva,Adjektiva;akronim
in grosso,Ungkapan,Ungkapan;Latin
en gross,Ungkapan,Ungkapan;Prancis
berbilang-bilang,Verba,Verba
massal,Adjektiva,Adjektiva
terparkir,Verba,Verba
gonjing,Adjektiva,Adjektiva
terbalik,Verba,Verba
berbahagia,Verba,Verba
terancam,Verba,Verba
prasejahtera,Adjektiva,Adjektiva
jerepet,Verba,Verba
mabul,Adjektiva,Adjektiva
bersaur,Verba,Verba;Minangkabau
berjerabai,Adjektiva,Adjektiva
ogah-agih,Adjektiva,Adjektiva
lenggang,Nomina,Nomina
bigamis,Nomina,Nomina
aprit-apritan,Adjektiva,Adjektiva
terpusing-pusing,Verba,Verba
lingat,Adjektiva,Adjektiva
leha-leha,Adjektiva,Adjektiva
tersimpuh,Verba,Verba
murakab,Adjektiva,Adjektiva;Arab
perbani,Adjektiva,Adjektiva
kebingungan,Nomina,Nomina
blong-blongan,Adjektiva,Adjektiva
peringisan,Adjektiva,Adjektiva
bersuaian,Adjektiva,Adjektiva
mandiri,Adjektiva,Adjektiva
statis,Adjektiva,Adjektiva
percobaan,Nomina,Nomina
bersingsing,Verba,Verba
terjajah,Verba,Verba;kiasan
terpanggang,Adjektiva,Adjektiva
terpasung,Verba,Verba
terpatri,Verba,Verba;kiasan
berpilin,Verba,Verba
ternista,Adjektiva,Adjektiva
bengah,Adjektiva,Adjektiva;Arkais
indah,Verba,Verba
kegamangan,Nomina,Nomina
tergugup,Adjektiva,Adjektiva
in vacuo,Ungkapan,Ungkapan;Latin
hipnotis,Adjektiva,Adjektiva
setengah tiang,kiasan,kiasan
menjomlo,Verba,Verba
menggaruk-garuk kepala,kiasan,kiasan
mengatup,Verba,Verba
suling,Nomina,Nomina
pusing,Adjektiva,Adjektiva;kiasan
keteteran,Adjektiva,Adjektiva;Cakapan
melompong,Verba,Verba
kelayuan,Nomina,Nomina
terunjur,Verba,Verba
cengis-cengis,Adjektiva,Adjektiva
kotai,Adjektiva,Adjektiva
jereket,Adjektiva,Adjektiva
menjonget,Adjektiva,Adjektiva
kepikiran,Verba,Verba;Cakapan
imbesil,Nomina,Nomina;Psikologi
syumuliah,Adjektiva,Adjektiva;Arab
muwakal,Nomina,Nomina
terkepak-kepak,Verba,Verba
terkesot-kesot,Adverbia,Adverbia
tergelantung,Verba,Verba
bergenggam,Adjektiva,Adjektiva
igau-igauan,Adjektiva,Adjektiva
perbaikan,Nomina,Nomina
divergen,Adjektiva,Adjektiva
tahalul,Nomina,Nomina;Arab;Agama Islam
praremaja,Adjektiva,Adjektiva
terberumbun,Adjektiva,Adjektiva;Minangkabau
tersarung,Verba,Verba
idrak,Adjektiva,Adjektiva
dekaden,Adjektiva,Adjektiva
terteleng,Adjektiva,Adjektiva
termonyong-monyong,Adjektiva,Adjektiva;Cakapan
orgasmik,Adjektiva,Adjektiva
melankolis,Adjektiva,Adjektiva
sakratulmaut,Adjektiva,Adjektiva
sekarat,Adjektiva,Adjektiva
bersesat,Adjektiva,Adjektiva
komunikatif,Adjektiva,Adjektiva
terlunta-lunta,Adjektiva,Adjektiva
keseorangan,Nomina,Nomina
bersiaga,Verba,Verba
kutat-kutet,Adjektiva,Adjektiva;Jawa
terbungkus,Adjektiva,Adjektiva
tercoblos,Verba,Verba
tererami,Adverbia,Adverbia
terfluorinasi,Adjektiva,Adjektiva
terkemas,Adjektiva,Adjektiva
ketakutan,Nomina,Nomina
menegak,Adjektiva,Adjektiva
ketekoran,Nomina,Nomina
tercelentang,Verba,Verba
stagnan,Adjektiva,Adjektiva;Cakapan
mengimbak-imbak,Adjektiva,Adjektiva
homoseksual,Adjektiva,Adjektiva
tertutupi,Verba,Verba
keceng,Adjektiva,Adjektiva
terkaing-kaing,Adjektiva,Adjektiva
adinamia,Adjektiva,Adjektiva;Kedokteran dan Fisiologi
kalsifobik,Adjektiva,Adjektiva
in absentia,Ungkapan,Ungkapan;Latin
agalaksia,Adjektiva,Adjektiva;Kedokteran dan Fisiologi
vegetaris,Adjektiva,Adjektiva
kecele,Adjektiva,Adjektiva;Cakapan
kontra,Nomina,Nomina;Musik
ogah-ogahan,Adjektiva,Adjektiva;Cakapan
kalem,Adjektiva,Adjektiva;Cakapan
sanglir,Adjektiva,Adjektiva;Jawa
labuh,Nomina,Nomina;Arkais
semuda,Adjektiva,Adjektiva
isokorik,Adjektiva,Adjektiva;Fisika
semu,Nomina,Nomina
in actu,Ungkapan,Ungkapan;Latin
ceteris paribus,Ungkapan,Ungkapan;Latin
primitif,Adjektiva,Adjektiva
in concreto,Ungkapan,Ungkapan;Latin
inkonfeso,Adjektiva,Adjektiva
sulit,Adjektiva,Adjektiva
lorat,Adjektiva,Adjektiva;Arkais
sukar,Adjektiva,Adjektiva;kiasan
antara,Nomina,Nomina
kempunan,Verba,Verba
terkumpal-kumpal,Verba,Verba
payah,Adjektiva,Adjektiva
kedengkik,Adjektiva,Adjektiva;Kedokteran dan Fisiologi
optimum,Nomina,Nomina
in vitro,Adverbia,Adverbia;Kedokteran dan Fisiologi
reconventie,Ungkapan,Ungkapan;Belanda
intravaskuler,Adjektiva,Adjektiva;Kedokteran dan Fisiologi
ketir-ketir,Adjektiva,Adjektiva;Jawa
sub specie,Ungkapan,Ungkapan;Latin
in triplo,Ungkapan,Ungkapan;Latin
halioho,Adjektiva,Adjektiva;Batak
anno,Ungkapan,Ungkapan;Latin
anno domini,Ungkapan,Ungkapan;Latin
presto,Nomina,Nomina;Cakapan
par excellence,Ungkapan,Ungkapan;Prancis
lekas-lekas,Adjektiva,Adjektiva
sebentar,Nomina,Nomina
auctor intellectualis,Ungkapan,Ungkapan;Latin
kilah,Nomina,Nomina
pelabi,Nomina,Nomina;Melayu Jakarta
dalil resonansi,Meteorologi,Meteorologi
saeh,Nomina,Nomina;Sunda
dam-dam,Nomina,Nomina
salam,Nomina,Nomina
berbaik,Verba,Verba
alaihi salam,Adjektiva,Adjektiva;Arab
gala,Nomina,Nomina
siongka,Nomina,Nomina;Cina
pandam,Nomina,Nomina;Arkais
kumus,Nomina,Nomina
hasyis,Nomina,Nomina
pijar-pijar,Nomina,Nomina
arpus,Nomina,Nomina
kopal,Nomina,Nomina
embalau,Nomina,Nomina
mur,Nomina,Nomina
pengaruh sosial,Psikologi,Psikologi
serta,Verba,Verba
wa,Partikel,Partikel
wall?hu a’lam bi?-?aw?b,Ungkapan,Ungkapan;Arab
datau,Partikel,Partikel;akronim
seterusnya,Adverbia,Adverbia
et sequentes,Ungkapan,Ungkapan;Latin
wabarakatuh,Nomina,Nomina;Arab
walau,Partikel,Partikel
dkk.,Nomina,Nomina;singkatan
dll.,Nomina,Nomina;singkatan
et cetera,Ungkapan,Ungkapan;Latin
dsb.,Nomina,Nomina;singkatan
ensopor,Partikel,Partikel;Cakapan
vice versa,Ungkapan,Ungkapan;Latin
wabakdu,Partikel,Partikel;Arab
dst.,Nomina,Nomina;singkatan
et alia,Ungkapan,Ungkapan;Latin
maupun,Partikel,Partikel;Klasik
lagi,Adverbia,Adverbia
ungkulan,Nomina,Nomina;Melayu Jakarta
dana pendidikan,Ekonomi dan Keuangan,Ekonomi dan Keuangan
dana pelunas,Administrasi dan Kepegawaian,Administrasi dan Kepegawaian
dana amortisasi,Administrasi dan Kepegawaian,Administrasi dan Kepegawaian
dplk,Nomina,Nomina;singkatan
dppk,Nomina,Nomina;singkatan
kasbon,Nomina,Nomina
swadana,Nomina,Nomina
danus,Nomina,Nomina;akronim
pradana,Nomina,Nomina;Pramuka
dana darurat,Ekonomi dan Keuangan,Ekonomi dan Keuangan
dana investasi,Ekonomi dan Keuangan,Ekonomi dan Keuangan
dana dwiguna,Ekonomi dan Keuangan,Ekonomi dan Keuangan
dana benaman,Ekonomi dan Keuangan,Ekonomi dan Keuangan
dana tontin,Ekonomi dan Keuangan,Ekonomi dan Keuangan
telaga,Nomina,Nomina;Mineralogi
laguna,Nomina,Nomina
danau glasial,Geografi dan Geologi,Geografi dan Geologi
danau vulkanis,Geografi dan Geologi,Geografi dan Geologi
danau karst,Geografi dan Geologi,Geografi dan Geologi
danau tektovulkanis,Geografi dan Geologi,Geografi dan Geologi
danau tektonik,Geografi dan Geologi,Geografi dan Geologi
reservoir,Petrologi dan Migas,Petrologi dan Migas
danau eutropik,Biologi,Biologi
dolin,Nomina,Nomina;Hidrologi
welahar,Nomina,Nomina
danau kawah,Geografi dan Geologi,Geografi dan Geologi
meromiktik,Nomina,Nomina
danau oligotropik,Biologi,Biologi
danau vulkanotektonik,Geografi dan Geologi,Geografi dan Geologi
distrofik,Nomina,Nomina;Biologi
eutropik,Nomina,Nomina
bilabong,Nomina,Nomina
seeng,Nomina,Nomina;Sunda
gubuk,Nomina,Nomina
dangar,Nomina,Nomina;Arkais
sapau,Nomina,Nomina;Arkais
sanggar,Nomina,Nomina;Jawa
bumbun,Nomina,Nomina;Minangkabau
sudung-sudung,Nomina,Nomina
gulang-gulang,Nomina,Nomina;Minangkabau
kecimol,Nomina,Nomina;Sasak
dangkar,Adjektiva,Adjektiva
neritik,Adjektiva,Adjektiva
tohor,Adjektiva,Adjektiva
terumbu,Nomina,Nomina;Geografi dan Geologi
polones,Nomina,Nomina
ajojing,Nomina,Nomina;Cakapan
dantor,Nomina,Nomina;akronim
representatif,Adjektiva,Adjektiva
terepas,Verba,Verba
terjaga,Verba,Verba
ternyatakan,Verba,Verba
lentur,Nomina,Nomina
terambah,Verba,Verba
terantar,Verba,Verba
terleraikan,Verba,Verba
terampas,Verba,Verba
terampok,Verba,Verba
terebut,Verba,Verba
ekspansif,Adjektiva,Adjektiva
terpacul,Verba,Verba
tergarap,Verba,Verba
terperam,Verba,Verba
terperangi,Verba,Verba
terpereteli,Verba,Verba
terpoles,Verba,Verba
terkebiri,Verba,Verba
peridi,Nomina,Nomina
panjang akal,kiasan,kiasan
amfibolik,Adjektiva,Adjektiva;Biologi
variabel,Nomina,Nomina
pandai jatuh,kiasan,kiasan
terpelihara,Verba,Verba
mustajab,Adjektiva,Adjektiva
tertanggulangi,Verba,Verba
terabadikan,Verba,Verba
terabaikan,Verba,Verba
teradili,Verba,Verba
teradsorpsi,Verba,Verba
teradukan,Verba,Verba
terajak,Verba,Verba
terajarkan,Verba,Verba
terakomodasi,Verba,Verba
terakomodasikan,Verba,Verba
terakses,Verba,Verba
teraktualisasikan,Verba,Verba
teraktualisasi,Verba,Verba
teralokasi,Verba,Verba
teramankan,Verba,Verba
terampuni,Verba,Verba
terandalkan,Verba,Verba
terangkat,Nomina,Nomina;Klasik
ringan,Adjektiva,Adjektiva;kiasan
terdongkrak,Verba,Verba;kiasan
terangkut,Verba,Verba
terantisipasi,Adjektiva,Adjektiva
terarungi,Verba,Verba
terkontrol,Verba,Verba
terawasi,Verba,Verba
terawetkan,Verba,Verba
terayun,Verba,Verba
terbaca,Verba,Verba
terbagi,Verba,Verba
terbagikan,Verba,Verba
terbalikkan,Adjektiva,Adjektiva
terbandingkan,Verba,Verba
terbantahkan,Verba,Verba
terbasmi,Verba,Verba
terbawa,Verba,Verba
terbayangkan,Verba,Verba
terbayarkan,Verba,Verba
terbebaskan,Verba,Verba
terbeberkan,Verba,Verba
terbeda-bedakan,Adjektiva,Adjektiva
terdiferensiasi,Verba,Verba
terbedakan,Verba,Verba
terbendung,Verba,Verba
tertunggik,Verba,Verba
terbentuk,Verba,Verba
teberdayakan,Verba,Verba
terbiaskan,Verba,Verba
terbongkar,Verba,Verba
terlemahkan,Verba,Verba
terbujuk,Verba,Verba
tercapai,Verba,Verba
tercederai,Verba,Verba
tercegah,Verba,Verba
terpisahkan,Verba,Verba
tercerap,Verba,Verba
terceritakan,Verba,Verba
tecernakan,Verba,Verba
tecerna,Verba,Verba
tercuci,Verba,Verba
tercurahkan,Verba,Verba
tercuri,Verba,Verba
terdaki,Verba,Verba
terdamaikan,Verba,Verba
terdefinisikan,Verba,Verba
terdengar,Verba,Verba
audial,Adjektiva,Adjektiva
kedengaran,Verba,Verba
terdeteksi,Verba,Verba
terdiagnosis,Verba,Verba
terdistorsi,Verba,Verba
terduga,Verba,Verba
terelakkan,Verba,Verba
terendapkan,Verba,Verba
terentaskan,Verba,Verba
terfasilitasi,Verba,Verba
terfermentasikan,Verba,Verba
terfokuskan,Verba,Verba
terformulasikan,Verba,Verba
tergambarkan,Verba,Verba
terganti,Verba,Verba
fungibel,Adjektiva,Adjektiva
tergantikan,Verba,Verba
tergapai,Verba,Verba
tergerogoti,Verba,Verba;kiasan
tergeser,Verba,Verba
tergombali,Verba,Verba
tergradasi,Verba,Verba
tergunakan,Verba,Verba
serbaguna,Adjektiva,Adjektiva
terhabiskan,Verba,Verba
terhantar,Verba,Verba
terhapuskan,Verba,Verba
terhapus,Verba,Verba;kiasan
terhentikan,Verba,Verba
terhindari,Verba,Verba
terhindarkan,Verba,Verba
terhirup,Verba,Verba
terbilang,Verba,Verba
terhunikan,Adjektiva,Adjektiva
terhuni,Verba,Verba
teridentifikasi,Verba,Verba
tertandingi,Verba,Verba
terimplementasikan,Verba,Verba
terindang,Verba,Verba
tertenggang,Verba,Verba
terisap,Verba,Verba
terizinkan,Verba,Verba
terotomatisasi,Verba,Verba
terjauhkan,Verba,Verba
terjawab,Verba,Verba
terjelaskan,Verba,Verba
terjelma,Verba,Verba;kiasan
terjembatani,Verba,Verba
terjerap,Verba,Verba
terjinjing,Verba,Verba
tersalurkan,Verba,Verba
teralahkan,Verba,Verba
terkalahkan,Verba,Verba
terkatakan,Verba,Verba
terkatrol,Verba,Verba
terkayuhkan,Verba,Verba
mempan,Verba,Verba
terkendalikan,Verba,Verba
terkira,Verba,Verba
terkirakan,Verba,Verba
terkirim,Nomina,Nomina
tertransmisikan,Verba,Verba
terklasifikasikan,Verba,Verba
terkobarkan,Verba,Verba
terkobok,Verba,Verba
terkompensasi,Nomina,Nomina
terkonsep,Verba,Verba
terkontak,Verba,Verba
terkonversi,Verba,Verba
terkoordinasi,Verba,Verba
terkoreksi,Verba,Verba
terkuasai,Verba,Verba
terlaksanakan,Verba,Verba
terlampaui,Verba,Verba
terlarutkan,Verba,Verba
terlawan,Verba,Verba
terledakkan,Verba,Verba
terlengkung,Verba,Verba
terlestarikan,Verba,Verba
visibel,Adjektiva,Adjektiva
visual,Adjektiva,Adjektiva
makroskopis,Adjektiva,Adjektiva
melanus,Verba,Verba;Arkais
membayang,Verba,Verba
tampak,Verba,Verba
terlihat,Verba,Verba
kasatmata,Adjektiva,Adjektiva
terbayang,Verba,Verba
terayomi,Verba,Verba
terlinierkan,Verba,Verba
terlipat,Verba,Verba
termakankan,Adjektiva,Adjektiva
termakan,Verba,Verba
terpahami,Verba,Verba
termentahkan,Verba,Verba
terminimalkan,Verba,Verba
terminum,Verba,Verba
termodulasi,Verba,Verba
termuat,Verba,Verba
termurnikan,Verba,Verba
termutakhirkan,Verba,Verba
terobat,Verba,Verba;kiasan
maklum,Verba,Verba
terpakai,Verba,Verba
terpalsukan,Verba,Verba
terpanasi,Verba,Verba
terpanjati,Verba,Verba
terpantau,Verba,Verba
terpantul,Verba,Verba
terpasok,Verba,Verba
terpatahkan,Verba,Verba
terpegang,Verba,Verba
terpelintir,Verba,Verba
terpenuhi,Verba,Verba
tercukupi,Verba,Verba
terbaiki,Verba,Verba
terbarukan,Verba,Verba
maton,Adjektiva,Adjektiva;Jawa
kredibel,Adjektiva,Adjektiva
andal,Adjektiva,Adjektiva
benar,Adjektiva,Adjektiva
bonafide,Adjektiva,Adjektiva
reliabel,Adjektiva,Adjektiva
muktamad,Adjektiva,Adjektiva
terperikan,Verba,Verba
terkaji,Verba,Verba
terluaskan,Verba,Verba
ujung jari,kiasan,kiasan
akuntabel,Adjektiva,Adjektiva
terpicu,Verba,Verba
terpikirkan,Verba,Verba
terpikul,Verba,Verba;kiasan
terkooptasi,Verba,Verba
terpindai,Verba,Verba
terpolarisasi,Verba,Verba
terpompa,Verba,Verba
terporoti,Verba,Verba
terprediksi,Verba,Verba
terproyeksi,Verba,Verba
kreditabel,Adjektiva,Adjektiva
terpulihkan,Verba,Verba
terpungut,Verba,Verba
terputuskan,Verba,Verba
teraih,Verba,Verba
terajut,Verba,Verba
terangkup,Verba,Verba
terangsang,Verba,Verba
terantai,Verba,Verba
terasa,Verba,Verba
terasakan,Verba,Verba
teraup,Verba,Verba
terayu,Verba,Verba
terealisasi,Verba,Verba
terebus,Verba,Verba
teredam,Verba,Verba
terefleksikan,Verba,Verba
terefleksi,Verba,Verba
terekayasa,Verba,Verba
terekrut,Verba,Verba
terenggut,Verba,Verba
terengkuh,Verba,Verba
terespons,Verba,Verba
terobek,Verba,Verba
terumuskan,Verba,Verba
terunut,Verba,Verba
terupa,Verba,Verba
terusak,Verba,Verba
fenomenal,Adjektiva,Adjektiva
terkopi,Verba,Verba
tersalip,Verba,Verba
tersamarkan,Verba,Verba
tersambar,Verba,Verba
tersandera,Verba,Verba
tersantet,Verba,Verba
